Papel;Segmento;Cotacao;FFO_Yield;Dividend_Yield;P_PER_VP;Valor_de_Mercado;Liquidez;Qtd_de_imoveis;Preco_do_m2;Aluguel_por_m2;Cap_Rate_PERC;Vacancia_Media
RELG11;Híbrido;55,77;0,1468;0,0062;0,44;74.428.500;433.301;5;1.046,19;179,81;0,1719;0,1003
RFOF11;Títulos e Val. Mob.;72,68;0,0953;0,1144;0,92;78.361.000;145.181;0;0;0;0;0
RINV11;Títulos e Val. Mob.;111,51;0,0344;0,1189;1,03;147.263.000;542.150;0;0;0;0;0
RMAI11;Híbrido;71,85;0,0036;0,058;0,71;175.587.000;11.443;2;4.227,07;190,28;0,045;0,1911
RNDP11;Títulos e Val. Mob.;65,22;0,1404;0,8411;0,83;7.009.910;10.784;0;0;0;0;0
RNGO11;Lajes Corporativas;46;0,1034;0,0941;0,56;123.096.000;79.313;4;2.138,62;292,1;0,1366;0,1463
RPRI11;Títulos e Val. Mob.;94;0,0852;0,1177;0,94;326.342.000;374.505;0;0;0;0;0
RRCI11;Títulos e Val. Mob.;76,4;0,1247;0,1431;0,84;36.806.200;36.144;0;0;0;0;0
RSPD11;Residencial;1.096,89;-0,0198;0,08;1,06;163.449.000;124;0;0;0;0;0
RURA11;Títulos e Val. Mob.;9,4;0,122;0,1319;0,94;1.504.940.000;3.594.510;0;0;0;0;0
RVBI11;Títulos e Val. Mob.;73,29;0,023;0,1145;0,87;753.129.000;2.319.340;0;0;0;0;0
RZAG11;Títulos e Val. Mob.;8,33;0,2366;0,1529;0,87;566.777.000;1.799.630;0;0;0;0;0
RZAK11;Títulos e Val. Mob.;83,61;0,1528;0,1519;0,93;736.427.000;3.113.080;0;0;0;0;0
RZAT11;Híbrido;98;0,1197;0,114;0,97;363.400.000;1.159.310;12;1.378,78;124,53;0,0903;0,0374
RZTR11;Híbrido;92,04;0,1074;0,122;0,92;1.735.110.000;4.791.670;17;2,12;0,31;0,1469;0,244
SADI11;Títulos e Val. Mob.;89,75;0,1494;0,1207;0,94;138.994.000;254.160;0;0;0;0;0
SAIC11B;Lajes Corporativas;34;-0,0363;0;0,62;48.611.200;3;1;4.358,35;19,64;0,0045;1
SAPI11;Títulos e Val. Mob.;91,99;0,0496;0,0711;0,92;142.003.000;333.413;0;0;0;0;0
SARE11;Híbrido;42,88;0,133;0,1078;0,49;395.968.000;1.068.500;3;1.946,47;269,91;0,1387;0
SCPF11;Shoppings;2,85;0,0801;0,0621;0,24;11.970.000;5.653;1;2.512,62;689,82;0,2745;0,3491
SEED11;Híbrido;97,61;0,1103;0,1035;1,05;160.080.000;7.764;0;0;0;0;0
SEQR11;Outros;51,51;0,1526;0,1456;0,56;85.800.000;84.982;4;2.035,59;354,61;0,1742;0
SHOP11;Híbrido;67,99;-0,0657;0;1,55;100.711.000;158;1;3.963,71;235,36;0,0594;0,17
SHPH11;Shoppings;865;0,0633;0,0708;0,94;526.742.000;94.583;1;14.995,80;1.198,65;0,0799;0,0435
SJAU11;Logística;68;0,0021;0,1433;0,91;539.393.000;1.746;0;0;0;0;0
SMRE11;Outros;100;0;0,0214;1,01;44.787.000;943.475;0;0;0;0;0
SNAG11;Híbrido;10,03;0,1;0,1212;1;501.500.000;1.941.210;3;139,96;8,92;0,0638;0
SNCI11;Títulos e Val. Mob.;95,99;0,1152;0,1139;0,97;403.158.000;486.599;0;0;0;0;0
SNEL11;Híbrido;9,25;0,184;0,0747;0,08;11.653.900;562.246;0;0;0;0;0
SNFF11;Títulos e Val. Mob.;87,6;0,0804;0,1035;0,96;247.908.000;518.654;0;0;0;0;0
SNLG11;Híbrido;31,1;0,0401;0,0203;0,6;78.681.900;136.117;1;2.846,61;59,37;0,0209;0
SNME11;Híbrido;9,11;0,054;0,0709;0,94;67.580.200;80.415;0;0;0;0;0
SPTW11;Lajes Corporativas;41,25;0,1709;0,1242;0,72;74.167.500;74.028;1;5.199,10;1.050,67;0,2021;0
SPXS11;Híbrido;9,46;0,0848;0,1211;0,98;190.988.000;1.489.990;0;0;0;0;0
TEPP11;Lajes Corporativas;91,93;0,0156;0,0989;0,94;388.125.000;1.199.700;4;16.297,00;1.407,34;0,0864;0
TGAR11;Híbrido;119,74;0,1068;0,1274;1,03;2.294.290.000;7.940.300;5;75,4;1,36;0,018;0
TJKB11;Lajes Corporativas;283;0,1049;0,1103;1,05;214.224.000;5.022;7;8.430,68;925,13;0,1097;0
TMPS11;Títulos e Val. Mob.;94,6;0,0779;0,1119;0,92;92.610.400;118.571;0;0;0;0;0
TORD11;Híbrido;1,43;-0,0041;0;0,11;50.123.400;100.612;1;337,83;0;0;0
TRBL11;Logística;97,65;0,0724;0,092;0,97;755.722.000;926.390;6;1.509,82;244,61;0,162;0,0062
TRNT11;Lajes Corporativas;109,99;0,0538;0,0307;0,55;432.872.000;13.335;1;6.838,89;604,02;0,0883;0,3857
TRXB11;Híbrido;146,52;0,0686;0,0874;1,3;469.711.000;1.146.750;15;1.771,83;187,81;0,106;0
TRXF11;Híbrido;105,9;-0,0301;0,1045;1;2.121.770.000;8.845.030;29;3.181,33;364,64;0,1146;0
TSER11;Lajes Corporativas;100;0,114;0,1071;1;128.488.000;20;1;2.732,76;240,41;0,088;0
TVRI11;Lajes Corporativas;102,02;0,1031;0,08;1,02;1.624.130.000;1.174.900;62;4.091,76;498,9;0,1219;0,0314
URPR11;Outros;80,37;0,1534;0,1397;0,78;943.053.000;1.685.150;0;0;0;0;0
VCJR11;Títulos e Val. Mob.;90,51;0,1375;0,1077;0,95;1.332.670.000;2.457.810;0;0;0;0;0
VCRA11;Títulos e Val. Mob.;69,2;0,2057;0,1744;0,66;317.899.000;959.574;0;0;0;0;0
VCRI11;Títulos e Val. Mob.;8,71;0,1128;0,1168;0,91;154.805.000;253.566;0;0;0;0;0
VCRR11;Logística;63,62;0,1256;0,1232;0,49;127.240.000;305.912;4;2.222,18;105,64;0,0475;0
VERE11;Outros;445,76;0,0695;0,0541;0,91;279.854.000;111;4;1.675,48;186,64;0,1114;0,1652
VGHF11;Híbrido;8,79;0,0434;0,1273;0,96;1.447.900.000;4.122.460;0;0;0;0;0
VGIA11;Títulos e Val. Mob.;7,97;0,1708;0,1547;0,83;689.047.000;2.763.570;0;0;0;0;0
VGIP11;Títulos e Val. Mob.;88,65;0,1127;0,1049;0,97;1.044.940.000;1.957.270;0;0;0;0;0
VGIR11;Títulos e Val. Mob.;10,05;0,1351;0,1269;1,03;1.037.370.000;3.808.820;0;0;0;0;0
VGRI11;;9,59;-0,0005;0,0455;0,99;321.154.000;525.962;5;5.824,84;0;0;0,0651
VIFI11;Títulos e Val. Mob.;7,94;0,1002;0,1035;0,87;64.228.200;102.174;0;0;0;0;0
VILG11;Logística;89,9;0,0823;0,0815;0,79;1.348.270.000;2.467.290;15;2.356,86;234,72;0,0996;0,0892
VINO11;Lajes Corporativas;6,78;0,1077;0,1;0,63;561.562.000;784.047;10;8.138,85;1.189,69;0,1462;0,0408
VISC11;Shoppings;115,13;0,0573;0,0951;0,9;3.319.040.000;8.155.600;25;3.725,57;275,14;0,0739;0,0588
VIUR11;Outros;6,86;0,1192;0,115;0,77;184.851.000;477.030;8;2.838,19;315,82;0,1113;0,0311
VOTS11;Títulos e Val. Mob.;81,43;0,1695;0,1177;0,87;67.417.000;7.066;0;0;0;0;0
VPSI11;Shoppings;11,72;0,188;0,0168;0,37;94.602.600;759;16;768,96;146,98;0,1911;0
VRTA11;Títulos e Val. Mob.;87,5;0,112;0,1024;0,95;1.364.340.000;1.875.450;0;0;0;0;0
VRTM11;Títulos e Val. Mob.;10,89;0,0336;0,057;1,15;129.546.000;1.809;1;10.376,80;0;0;0
VSHO11;Shoppings;70;0,1114;0,1098;0,69;146.916.000;65.860;3;1.945,52;420,48;0,2161;0,0784
VSLH11;Outros;3,27;0,1216;0,1262;0,31;97.655.600;208.779;0;0;0;0;0
